Test Data File (Binary):
C:/Users/Francisco C. Prince/OneDrive/Paper QRNG/Python Codes/bits_aleatorios_7BIT_SAMPLE.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.002445537387184524	Non-Random
02. Frequency Test within a Block                 	0.4001293092696696  	Random
03. Runs Test                                     	0.10941373580883429 	Random
04. Test for the Longest Run of Ones in a Block   	0.6019418205468705  	Random
05. Binary Matrix Rank Test                       	0.2953034226581061  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8114216873980027  	Random
07. Non-overlapping Template Matching Test        	0.9023702757330169  	Random
08. Overlapping Template Matching Test            	0.32373914909097923 	Random
09. Maurer's "Universal Statistical" Test         	0.7340186072336912  	Random
10. Linear Complexity Test                        	0.5954209078217814  	Random
11. Serial Test:
													0.3530784903559614  	Random
													0.22636789132073273 	Random
12. Approximate Entropy Test                      	0.43441106995959144 	Random
13. Cumulative Sums Test (Forward)                	0.0041539336348716815	Non-Random
14. Cumulative Sums Test (Backward)               	0.004112296748995286	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.1097037865642587  	0.833766678748118   	Random
				-3        	2.2509776435045334  	0.8134393183936729  	Random
				-2        	0.8542389317817314  	0.9734456057257107  	Random
				-1        	1.2356495468277946  	0.9414118977843373  	Random
				+1        	10.16012084592145   	0.0708233584436625  	Random
				+2        	4.697885196374623   	0.4538511376001163  	Random
				+3        	4.173152870090636   	0.5247652093998516  	Random
				+4        	9.451941600365407   	0.09233975549784429 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	406                 	0.4795782188395181  	Random
				-8.0      	396                 	0.514216035869197   	Random
				-7.0      	370                 	0.6741923993074023  	Random
				-6.0      	332                 	0.9906501469678154  	Random
				-5.0      	305                 	0.7362378451942373  	Random
				-4.0      	330                 	0.988279492229825   	Random
				-3.0      	350                 	0.7412129208426327  	Random
				-2.0      	328                 	0.9463284946612075  	Random
				-1.0      	313                 	0.4841834725548563  	Random
				+1.0      	352                 	0.41439251722296666 	Random
				+2.0      	329                 	0.9642039859955488  	Random
				+3.0      	281                 	0.3848074774866921  	Random
				+4.0      	268                 	0.35472127178812307 	Random
				+5.0      	245                 	0.2652098487615542  	Random
				+6.0      	204                 	0.13668272400237014 	Random
				+7.0      	206                 	0.17783865859628745 	Random
				+8.0      	210                 	0.22464946122986185 	Random
				+9.0      	211                 	0.25798364255727413 	Random
