Test Data File (Binary):
C:/Users/Francisco C. Prince/OneDrive/Paper QRNG/Python Codes/bits_aleatorios_qrng20260916.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.21869710485138394 	Random
02. Frequency Test within a Block                 	0.18121914547200774 	Random
03. Runs Test                                     	0.7668577745613943  	Random
04. Test for the Longest Run of Ones in a Block   	0.3676979944369919  	Random
05. Binary Matrix Rank Test                       	0.7787277297044407  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.09671948945931486 	Random
07. Non-overlapping Template Matching Test        	0.8972892686082197  	Random
08. Overlapping Template Matching Test            	0.3980045955009742  	Random
09. Maurer's "Universal Statistical" Test         	0.2443519800441517  	Random
10. Linear Complexity Test                        	0.8957003124120686  	Random
11. Serial Test:
													0.2584364328229066  	Random
													0.5652231123304726  	Random
12. Approximate Entropy Test                      	0.05851815238634591 	Random
13. Cumulative Sums Test (Forward)                	0.38700955312701085 	Random
14. Cumulative Sums Test (Backward)               	0.07075689346856742 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.464116034797672   	0.6288241501281185  	Random
				-3        	5.730729977460554   	0.33330789494714075 	Random
				-2        	4.149548747344891   	0.5280918175357836  	Random
				-1        	1.0736288504883547  	0.9564111987041514  	Random
				+1        	5.6070623591284745  	0.34634886254303693 	Random
				+2        	5.06270232165549    	0.4082759781158565  	Random
				+3        	3.6301187077385424  	0.6037968508480376  	Random
				+4        	5.206460431118891   	0.3912067680220706  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	1503                	0.41878144891798974 	Random
				-8.0      	1444                	0.5717371073315162  	Random
				-7.0      	1367                	0.8465514150703539  	Random
				-6.0      	1340                	0.9580548245676156  	Random
				-5.0      	1414                	0.5917981477830918  	Random
				-4.0      	1453                	0.3714658756726468  	Random
				-3.0      	1396                	0.5731559254923305  	Random
				-2.0      	1363                	0.7202801999088426  	Random
				-1.0      	1325                	0.907421680560302   	Random
				+1.0      	1293                	0.46141943169137845 	Random
				+2.0      	1254                	0.38888541180776515 	Random
				+3.0      	1235                	0.4053452746152907  	Random
				+4.0      	1178                	0.26236172761093113 	Random
				+5.0      	1152                	0.24749617087190834 	Random
				+6.0      	1164                	0.32910201126075433 	Random
				+7.0      	1185                	0.4325515966593261  	Random
				+8.0      	1154                	0.37573857228153895 	Random
				+9.0      	1156                	0.41071302531773546 	Random
